component_name,ai_original_recommendation,guardrail_adjusted_recommendation,final_auditor_decision,decision_status,timestamp,reason_for_change,guardrails_triggered,human_review_required,hitl_review_reason,auditor_override,final_decision_source
USA_Sub,Specific Procedures,Full Scope,Full Scope,ai_default,2026-06-25T09:20:44.497487+00:00,Significant component threshold met; scope increased to Full Scope for partner review. ML confidence 0.51 is below the 0.65 threshold.,Significant component threshold met; scope increased to Full Scope for partner review. ML confidence 0.51 is below the 0.65 threshold.,True,Multiple review triggers: Low ML confidence; Significant component; Guardrail adjusted AI recommendation,False,ai_default
Germany_Sub,Specific Procedures,Full Scope,Full Scope,ai_default,2026-06-25T09:20:44.497487+00:00,Significant component threshold met; scope increased to Full Scope for partner review. ML confidence 0.58 is below the 0.65 threshold.,Significant component threshold met; scope increased to Full Scope for partner review. ML confidence 0.58 is below the 0.65 threshold.,True,Multiple review triggers: Low ML confidence; Significant component; Guardrail adjusted AI recommendation,False,ai_default
Japan_Sub,Analytical Procedures,Analytical Procedures,Analytical Procedures,ai_default,2026-06-25T09:20:44.497487+00:00,No guardrail change. Awaiting auditor decision.,,False,No mandatory HITL review trigger,False,ai_default
Brazil_Sub,Specific Procedures,Specific Procedures,Specific Procedures,ai_default,2026-06-25T09:20:44.497487+00:00,Severe prior findings noted; planned work should address the finding history. ML confidence 0.62 is below the 0.65 threshold.,Severe prior findings noted; planned work should address the finding history. ML confidence 0.62 is below the 0.65 threshold.,True,Multiple review triggers: Low ML confidence; High risk component,False,ai_default
India_Sub,Specific Procedures,Specific Procedures,Specific Procedures,ai_default,2026-06-25T09:20:44.497487+00:00,No guardrail change. Awaiting auditor decision.,,True,High risk component,False,ai_default
France_Sub,Specific Procedures,Specific Procedures,Specific Procedures,ai_default,2026-06-25T09:20:44.497487+00:00,No guardrail change. Awaiting auditor decision.,,False,No mandatory HITL review trigger,False,ai_default
Australia_Sub,Analytical Procedures,Analytical Procedures,Analytical Procedures,ai_default,2026-06-25T09:20:44.497487+00:00,No guardrail change. Awaiting auditor decision.,,False,No mandatory HITL review trigger,False,ai_default
Mexico_Sub,Specific Procedures,Specific Procedures,Specific Procedures,ai_default,2026-06-25T09:20:44.497487+00:00,ML confidence 0.54 is below the 0.65 threshold.,ML confidence 0.54 is below the 0.65 threshold.,True,Low ML confidence,False,ai_default
Canada_Sub,Analytical Procedures,Analytical Procedures,Analytical Procedures,ai_default,2026-06-25T09:20:44.497487+00:00,No guardrail change. Awaiting auditor decision.,,False,No mandatory HITL review trigger,False,ai_default
SouthAfrica_Sub,Specific Procedures,Specific Procedures,Specific Procedures,ai_default,2026-06-25T09:20:44.497487+00:00,Severe prior findings noted; planned work should address the finding history. ML confidence 0.57 is below the 0.65 threshold.,Severe prior findings noted; planned work should address the finding history. ML confidence 0.57 is below the 0.65 threshold.,True,Multiple review triggers: Low ML confidence; High risk component,False,ai_default
